test,test,test,test,1,111111111111111111111111111111
Piura,Lima,Directo,23-01-2026,100,111111111111111111111111111111
Lima,Piura,Directo,06-12-2026,100,111111111111111111111111111111
Lima,Arequipa,Directo,01-10-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,15-08-2026,150,111111111111111111111111111111
Piura,Lima,Directo,02-08-2026,100,111111111111111111111111111111
Lima,Piura,Directo,09-08-2026,100,111111111111111111111111111111
Lima,Santiago,Directo,07-03-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,18-09-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,02-01-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,27-03-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,14-02-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,01-05-2026,250,111111111111111111111111111111
Lima,Bogota,Directo,09-01-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,24-07-2026,350,111111111111111111111111111111
Lima,Santiago,Directo,22-11-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,01-10-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,19-05-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,10-12-2026,300,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,11-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,28-08-2026,200,111111111111111111111111111111
Cusco,Arequipa,Directo,02-02-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,15-08-2026,80,111111111111111111111111111111
Lima,Santiago,Directo,09-07-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,06-07-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,07-06-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,23-02-2026,200,111111111111111111111111111111
Lima,Cusco,Directo,07-01-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,13-01-2026,300,111111111111111111111111111111
Piura,Lima,Directo,21-10-2026,100,111111111111111111111111111111
Lima,Piura,Directo,19-10-2026,100,111111111111111111111111111111
Cusco,Arequipa,Directo,24-12-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,21-08-2026,80,111111111111111111111111111111
Lima,Santiago,Directo,16-12-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,10-11-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,15-01-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,22-05-2026,200,111111111111111111111111111111
Lima,Bogota,Directo,17-07-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,23-08-2026,350,111111111111111111111111111111
Santiago,Buenos Aires,Directo,14-01-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,22-09-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,24-09-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,22-03-2026,80,111111111111111111111111111111
Lima,Arequipa,Directo,20-05-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,28-06-2026,150,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,23-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,27-06-2026,200,111111111111111111111111111111
Lima,Santiago,Directo,05-09-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,06-05-2026,250,111111111111111111111111111111
Piura,Lima,Directo,04-12-2026,100,111111111111111111111111111111
Lima,Piura,Directo,14-01-2026,100,111111111111111111111111111111
Cusco,Arequipa,Directo,15-03-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,07-03-2026,80,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,16-12-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,26-09-2026,200,111111111111111111111111111111
Lima,Cusco,Directo,10-11-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,23-01-2026,300,111111111111111111111111111111
Lima,Santiago,Directo,19-01-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,20-06-2026,250,111111111111111111111111111111
Piura,Lima,Directo,14-10-2026,100,111111111111111111111111111111
Lima,Piura,Directo,01-11-2026,100,111111111111111111111111111111
Piura,Lima,Directo,25-07-2026,100,111111111111111111111111111111
Lima,Piura,Directo,16-02-2026,100,111111111111111111111111111111
Lima,Cusco,Directo,22-06-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,16-08-2026,300,111111111111111111111111111111
Piura,Lima,Directo,28-05-2026,100,111111111111111111111111111111
Lima,Piura,Directo,14-04-2026,100,111111111111111111111111111111
Santiago,Buenos Aires,Directo,17-01-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,28-07-2026,150,111111111111111111111111111111
Lima,Cusco,Directo,18-08-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,17-04-2026,300,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,28-10-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,09-05-2026,200,111111111111111111111111111111
Cusco,Arequipa,Directo,28-03-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,26-02-2026,80,111111111111111111111111111111
Lima,Arequipa,Directo,17-11-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,07-09-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,01-10-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,11-08-2026,80,111111111111111111111111111111
Santiago,Buenos Aires,Directo,20-03-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,28-07-2026,150,111111111111111111111111111111
Santiago,Buenos Aires,Directo,04-03-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,25-02-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,16-03-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,07-11-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,28-12-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,01-01-2026,300,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,05-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,01-07-2026,200,111111111111111111111111111111
Lima,Bogota,Directo,22-11-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,04-12-2026,350,111111111111111111111111111111
Lima,Santiago,Directo,15-09-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,06-05-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,22-06-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,26-05-2026,200,111111111111111111111111111111
Lima,Santiago,Directo,10-09-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,27-08-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,18-12-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,26-12-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,12-10-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,17-11-2026,300,111111111111111111111111111111
Lima,Santiago,Directo,26-10-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,28-05-2026,250,111111111111111111111111111111
Piura,Lima,Directo,14-12-2026,100,111111111111111111111111111111
Lima,Piura,Directo,24-06-2026,100,111111111111111111111111111111
Cusco,Arequipa,Directo,19-03-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,17-07-2026,80,111111111111111111111111111111
Santiago,Buenos Aires,Directo,15-08-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,02-05-2026,150,111111111111111111111111111111
Lima,Bogota,Directo,12-10-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,08-04-2026,350,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,13-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,26-12-2026,200,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,23-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,02-12-2026,200,111111111111111111111111111111
Lima,Arequipa,Directo,09-01-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,17-05-2026,150,111111111111111111111111111111
Santiago,Buenos Aires,Directo,03-10-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,18-09-2026,150,111111111111111111111111111111
Piura,Lima,Directo,05-08-2026,100,111111111111111111111111111111
Lima,Piura,Directo,26-08-2026,100,111111111111111111111111111111
Piura,Lima,Directo,20-09-2026,100,111111111111111111111111111111
Lima,Piura,Directo,22-05-2026,100,111111111111111111111111111111
Cusco,Arequipa,Directo,26-01-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,07-06-2026,80,111111111111111111111111111111
Lima,Cusco,Directo,11-01-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,13-02-2026,300,111111111111111111111111111111
Lima,Cusco,Directo,02-04-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,03-04-2026,300,111111111111111111111111111111
Santiago,Buenos Aires,Directo,04-11-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,19-12-2026,150,111111111111111111111111111111
Lima,Arequipa,Directo,04-01-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,27-09-2026,150,111111111111111111111111111111
Piura,Lima,Directo,21-04-2026,100,111111111111111111111111111111
Lima,Piura,Directo,05-01-2026,100,111111111111111111111111111111
Lima,Bogota,Directo,13-06-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,27-10-2026,350,111111111111111111111111111111
Lima,Cusco,Directo,03-01-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,07-04-2026,300,111111111111111111111111111111
Lima,Cusco,Directo,13-10-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,11-05-2026,300,111111111111111111111111111111
Lima,Bogota,Directo,21-11-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,19-04-2026,350,111111111111111111111111111111
Lima,Bogota,Directo,24-11-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,07-10-2026,350,111111111111111111111111111111
Lima,Santiago,Directo,19-10-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,08-06-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,11-10-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,10-10-2026,200,111111111111111111111111111111
Lima,Bogota,Directo,03-04-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,05-06-2026,350,111111111111111111111111111111
Lima,Bogota,Directo,14-06-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,13-03-2026,350,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,24-09-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,16-06-2026,200,111111111111111111111111111111
Lima,Arequipa,Directo,01-06-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,16-10-2026,150,111111111111111111111111111111
Piura,Lima,Directo,08-04-2026,100,111111111111111111111111111111
Lima,Piura,Directo,26-11-2026,100,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,15-09-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,26-04-2026,200,111111111111111111111111111111
Lima,Santiago,Directo,24-06-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,27-06-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,28-04-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,26-11-2026,300,111111111111111111111111111111
Cusco,Arequipa,Directo,17-04-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,13-12-2026,80,111111111111111111111111111111
Lima,Cusco,Directo,10-03-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,08-01-2026,300,111111111111111111111111111111
Lima,Santiago,Directo,01-07-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,18-08-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,13-07-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,19-08-2026,250,111111111111111111111111111111
Santiago,Buenos Aires,Directo,05-07-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,18-04-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,14-01-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,21-06-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,13-11-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,13-11-2026,200,111111111111111111111111111111
Santiago,Buenos Aires,Directo,01-07-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,02-11-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,19-01-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,28-05-2026,250,111111111111111111111111111111
Lima,Arequipa,Directo,10-11-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,16-10-2026,150,111111111111111111111111111111
Lima,Bogota,Directo,25-03-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,16-01-2026,350,111111111111111111111111111111
Lima,Santiago,Directo,08-10-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,03-07-2026,250,111111111111111111111111111111
Lima,Arequipa,Directo,20-05-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,27-02-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,21-05-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,16-11-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,02-11-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,17-02-2026,300,111111111111111111111111111111
Lima,Bogota,Directo,07-04-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,15-02-2026,350,111111111111111111111111111111
Santiago,Buenos Aires,Directo,27-10-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,28-04-2026,150,111111111111111111111111111111
Lima,Arequipa,Directo,02-10-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,03-12-2026,150,111111111111111111111111111111
Piura,Lima,Directo,28-06-2026,100,111111111111111111111111111111
Lima,Piura,Directo,02-03-2026,100,111111111111111111111111111111
Lima,Cusco,Directo,21-01-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,27-12-2026,300,111111111111111111111111111111
Piura,Lima,Directo,01-04-2026,100,111111111111111111111111111111
Lima,Piura,Directo,20-10-2026,100,111111111111111111111111111111
Lima,Cusco,Directo,16-09-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,24-08-2026,300,111111111111111111111111111111
Cusco,Arequipa,Directo,25-01-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,10-05-2026,80,111111111111111111111111111111
Lima,Santiago,Directo,02-10-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,12-01-2026,250,111111111111111111111111111111
Piura,Lima,Directo,11-12-2026,100,111111111111111111111111111111
Lima,Piura,Directo,07-07-2026,100,111111111111111111111111111111
Piura,Lima,Directo,13-08-2026,100,111111111111111111111111111111
Lima,Piura,Directo,01-06-2026,100,111111111111111111111111111111
Santiago,Buenos Aires,Directo,22-08-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,09-05-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,21-08-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,03-09-2026,80,111111111111111111111111111111
Cusco,Arequipa,Directo,20-08-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,13-06-2026,80,111111111111111111111111111111
Lima,Santiago,Directo,06-09-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,27-12-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,07-06-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,17-05-2026,250,111111111111111111111111111111
Piura,Lima,Directo,03-05-2026,100,111111111111111111111111111111
Lima,Piura,Directo,12-10-2026,100,111111111111111111111111111111
Lima,Santiago,Directo,16-05-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,13-08-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,02-06-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,18-01-2026,200,111111111111111111111111111111
Lima,Cusco,Directo,16-07-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,17-03-2026,300,111111111111111111111111111111
Lima,Bogota,Directo,24-04-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,24-10-2026,350,111111111111111111111111111111
Lima,Arequipa,Directo,10-05-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,28-10-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,11-03-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,15-01-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,09-07-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,23-04-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,27-02-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,04-01-2026,250,111111111111111111111111111111
Lima,Santiago,Directo,01-01-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,23-08-2026,250,111111111111111111111111111111
Cusco,Arequipa,Directo,21-09-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,03-07-2026,80,111111111111111111111111111111
Santiago,Buenos Aires,Directo,26-10-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,06-04-2026,150,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,24-11-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,23-01-2026,200,111111111111111111111111111111
Lima,Bogota,Directo,22-10-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,01-06-2026,350,111111111111111111111111111111
Piura,Lima,Directo,03-02-2026,100,111111111111111111111111111111
Lima,Piura,Directo,07-06-2026,100,111111111111111111111111111111
Cusco,Arequipa,Directo,24-01-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,09-12-2026,80,111111111111111111111111111111
Lima,Santiago,Directo,01-08-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,26-09-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,08-08-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,23-12-2026,300,111111111111111111111111111111
Santiago,Buenos Aires,Directo,03-11-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,02-04-2026,150,111111111111111111111111111111
Lima,Bogota,Directo,23-03-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,03-05-2026,350,111111111111111111111111111111
Cusco,Arequipa,Directo,25-07-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,06-03-2026,80,111111111111111111111111111111
Lima,Arequipa,Directo,13-08-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,10-03-2026,150,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,13-09-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,17-07-2026,200,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,17-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,27-11-2026,200,111111111111111111111111111111
Lima,Bogota,Directo,11-09-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,22-09-2026,350,111111111111111111111111111111
Lima,Santiago,Directo,24-09-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,17-10-2026,250,111111111111111111111111111111
Lima,Arequipa,Directo,06-12-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,13-04-2026,150,111111111111111111111111111111
